date,taiex_close,taiex_drawdown,asset,asset_source
2019-08-22,10529.78,-0.06427823064024074,16.419870376586914,0050 Yahoo adjusted close
2019-08-23,10538.11,-0.06353799083097922,16.440168380737305,0050 Yahoo adjusted close
2019-08-26,10354.57,-0.07984814864513012,16.16616439819336,0050 Yahoo adjusted close
2019-08-27,10387.23,-0.07694583986115844,16.20676040649414,0050 Yahoo adjusted close
2019-08-28,10434.29,-0.072763884828283,16.318391799926758,0050 Yahoo adjusted close
2019-08-29,10462.43,-0.07026324278355056,16.348833084106445,0050 Yahoo adjusted close
2019-08-30,10618.05,-0.056434176863107255,16.61269187927246,0050 Yahoo adjusted close
2019-09-02,10634.85,-0.05494125623938628,16.622838973999023,0050 Yahoo adjusted close
2019-09-03,10558.21,-0.06175181794188467,16.480756759643555,0050 Yahoo adjusted close
2019-09-04,10657.31,-0.05294536354838808,16.67357635498047,0050 Yahoo adjusted close
2019-09-05,10756.93,-0.04409269970701435,16.846099853515625,0050 Yahoo adjusted close
2019-09-06,10780.64,-0.04198572661246547,16.94758415222168,0050 Yahoo adjusted close
2019-09-10,10753.58,-0.04439039518853016,16.92728614807129,0050 Yahoo adjusted close
2019-09-11,10790.35,-0.04112285403768379,16.937427520751953,0050 Yahoo adjusted close
2019-09-12,10827.55,-0.03781710122801618,17.028766632080078,0050 Yahoo adjusted close
2019-09-16,10898.13,-0.03154505732193158,17.1302433013916,0050 Yahoo adjusted close
2019-09-17,10874.5,-0.033644921270653216,17.09980583190918,0050 Yahoo adjusted close
2019-09-18,10929.45,-0.028761826730566042,17.241878509521484,0050 Yahoo adjusted close
2019-09-19,10894.7,-0.031849861949274416,17.140396118164062,0050 Yahoo adjusted close
2019-09-20,10929.69,-0.02874049929308431,17.191137313842773,0050 Yahoo adjusted close
2019-09-23,10919.02,-0.02968868161779281,17.15054702758789,0050 Yahoo adjusted close
2019-09-24,10918.01,-0.029778434583861757,17.18099021911621,0050 Yahoo adjusted close
2019-09-25,10873.69,-0.033716901372153996,17.06935691833496,0050 Yahoo adjusted close
2019-09-26,10871.99,-0.03386797072098302,17.109949111938477,0050 Yahoo adjusted close
2019-09-27,10829.68,-0.037627820220365815,17.170841217041016,0050 Yahoo adjusted close
2019-10-01,10967.65,-0.025367209598057827,17.444843292236328,0050 Yahoo adjusted close
2019-10-02,10947.88,-0.027124057260615175,17.383955001831055,0050 Yahoo adjusted close
2019-10-03,10875.91,-0.03351962257544805,17.211435317993164,0050 Yahoo adjusted close
2019-10-04,10894.48,-0.03186941210029948,17.2824764251709,0050 Yahoo adjusted close
2019-10-07,10935.06,-0.028263297879430715,17.343360900878906,0050 Yahoo adjusted close
2019-10-08,11017.31,-0.020954207325797114,17.556480407714844,0050 Yahoo adjusted close
2019-10-09,10889.96,-0.032271078839538725,17.414398193359375,0050 Yahoo adjusted close
2019-10-14,11066.95,-0.016542982339993073,17.76958656311035,0050 Yahoo adjusted close
2019-10-15,11111.8,-0.012557417460595466,17.800033569335938,0050 Yahoo adjusted close
