date,open,high,low,close,source,hwm,hwm_date,drawdown
2000-10-20,5404.78,5404.78,5404.78,5404.78,TWSE FMTQIK,10202.2,2000-02-17,-0.4702338711258357
2000-10-21,5599.74,5599.74,5599.74,5599.74,TWSE FMTQIK,10202.2,2000-02-17,-0.45112426731489297
2000-10-23,5680.95,5680.95,5680.95,5680.95,TWSE FMTQIK,10202.2,2000-02-17,-0.4431642194820725
2000-10-24,5918.63,5918.63,5918.63,5918.63,TWSE FMTQIK,10202.2,2000-02-17,-0.41986728352708247
2000-10-25,6023.78,6023.78,6023.78,6023.78,TWSE FMTQIK,10202.2,2000-02-17,-0.4095606829899434
2000-10-26,5941.85,5941.85,5941.85,5941.85,TWSE FMTQIK,10202.2,2000-02-17,-0.4175913038364274
2000-10-27,5805.17,5805.17,5805.17,5805.17,TWSE FMTQIK,10202.2,2000-02-17,-0.43098841426359025
2000-10-30,5659.08,5659.08,5659.08,5659.08,TWSE FMTQIK,10202.2,2000-02-17,-0.445307874772108
2000-10-31,5544.18,5544.18,5544.18,5544.18,TWSE FMTQIK,10202.2,2000-02-17,-0.45657015153594327
2000-11-01,5425.02,5425.02,5425.02,5425.02,TWSE FMTQIK,10202.2,2000-02-17,-0.4682499852972888
2000-11-02,5626.08,5626.08,5626.08,5626.08,TWSE FMTQIK,10202.2,2000-02-17,-0.4485424712316952
2000-11-03,5796.08,5796.08,5796.08,5796.08,TWSE FMTQIK,10202.2,2000-02-17,-0.4318793985610947
2000-11-04,5677.3,5677.3,5677.3,5677.3,TWSE FMTQIK,10202.2,2000-02-17,-0.4435219854541178
2000-11-06,5657.48,5657.48,5657.48,5657.48,TWSE FMTQIK,10202.2,2000-02-17,-0.4454647036913608
2000-11-07,5877.77,5877.77,5877.77,5877.77,TWSE FMTQIK,10202.2,2000-02-17,-0.4238723020524985
2000-11-08,6067.94,6067.94,6067.94,6067.94,TWSE FMTQIK,10202.2,2000-02-17,-0.4052322048185686
2000-11-09,6089.55,6089.55,6089.55,6089.55,TWSE FMTQIK,10202.2,2000-02-17,-0.4031140342279117
